Id;System;Domain;Year;Citations;Count;Reference
287;ResNet-110 (CIFAR-10);Vision;2015;8,58E+04;85800;Deep Residual Learning for Image Recognition
288;SPPNet;Vision;2014;7,41E+03;7410;Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition
289;;Vision;2014;5,74E+03;5740;DeepFace: Closing the Gap to Human-Level Performance in Face Verification
290;VGG16;Vision;2014;6,13E+04;61300;Very Deep Convolutional Networks for Large-Scale Image Recognition
291;VGG19;Vision;2014;6,13E+04;61300;Very Deep Convolutional Networks for Large-Scale Image Recognition
292;LRCN;Vision;2014;5,22E+03;5220;Long-term Recurrent Convolutional Networks for Visual Recognition and Description
293;;Vision;2014;2,47E+04;24700;Fully Convolutional Networks for Semantic Segmentation
294;;Vision;2014;4,01E+03;4010;Deep Learning Face Attributes in the Wild
295;ADAM (CIFAR-10);Vision;2014;8,11E+04;81100;Adam: A Method for Stochastic Optimization
296;DeepLab;Vision;2014;3,70E+03;3700;Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
297;;Vision;2013;1,21E+03;1210;Zero-Shot Learning Through Cross-Modal Transfer
298;Maxout Networks ;Vision;2013;2,58E+03;2580;Maxout Networks 
299;;Vision;2013;5,59E+03;5590;Selective search for object recognition
300;;Vision;2013;5,59E+03;5590;Selective search for object recognition
301;Image Classification with the Fisher Vector: Theory and Practice;Vision;2013;1,71E+03;1710;Image Classification with the Fisher Vector: Theory and Practice
302;Mitosis;Vision;2013;1,46E+03;1460;Mitosis Detection in Breast Cancer Histology Images with Deep Neural Networks
303;R-CNN (T-net);Vision;2013;1,91E+04;19100;Rich feature hierarchies for accurate object detection and semantic segmentation
304;Visualizing CNNs;Vision;2013;1,30E+04;13000;Visualizing and Understanding Convolutional Networks
305;Image generation;Vision;2013;1,56E+04;15600;Auto-Encoding Variational Bayes
306;;Vision;2013;5,15E+03;5150;OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks
307;MCDNN (MNIST);Vision;2012;4,83E+03;4830;Multi-column Deep Neural Networks for Image Classification
308;Dropout (MNIST);Vision;2012;6,68E+03;6680;Improving neural networks by preventing co-adaptation of feature detectors
309;Dropout (CIFAR);Vision;2012;6,68E+03;6680;Improving neural networks by preventing co-adaptation of feature detectors
310;Dropout (ImageNet);Vision;2012;6,68E+03;6680;Improving neural networks by preventing co-adaptation of feature detectors
311;AlexNet;Vision;2012;8,51E+04;85100;ImageNet Classification with Deep Convolutional Neural Networks
312;Domain Adaptation;Vision;2011;1,06E+03;1060;Domain Adaptation for Object Recognition: An Unsupervised Approach
313;6-layer MLP (MNIST);Vision;2010;1,26E+03;1260;Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition
314;Feedforward NN;Vision;2010;1,33E+04;13300;Understanding the difficulty of training deep feedforward neural networks
315;;Vision;2010;1,31E+03;1310;Learning mid-level features for recognition
316;Deconvolutional Network;Vision;2010;1,52E+03;1520;Deconvolutional Networks
317;ReLU (NORB);Vision;2010;1,40E+04;14000;Rectified linear units improve restricted boltzmann machines
318;ReLU (LFW);Vision;2010;1,40E+04;14000;Rectified linear units improve restricted boltzmann machines
319;;Vision;2010;3,06E+03;3060;Improving the Fisher Kernel for Large-Scale Image Classification
320;;Vision;2008;3,09E+03;3090;A discriminatively trained, multiscale, deformable part model
321;;Vision;2008;1,24E+02;124;Simple method for high-performance digit recognition based on sparse coding
322;;Vision;2007;2,87E+02;287;A Novel Approach to On-Line Handwriting Recognition Based on Bidirectional Long Short-Term Memory Networks
323;BLSTM;Vision;2007;3,41E+02;341;Unconstrained online handwriting recognition with recurrent neural networks
324;FAST;Vision;2006;5,42E+03;5420;Machine Learning for High-Speed Corner Detection
325;;Vision;2006;9,81E+03;9810;Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories
326;DrLIM;Vision;2006;2,69E+03;2690;Dimensionality Reduction by Learning an Invariant Mapping
327;DImensionality Reduction;Vision;2006;1,57E+04;15700;Reducing the dimensionality of data with neural networks.
328;Deep Belief Nets;Vision;2006;1,61E+04;16100;A fast learning algorithm for deep belief nets
329;;Vision;2006;1,60E+03;1600;Efficient Learning of Sparse Representations with an Energy-Based Model.
330;;Vision;2005;3,05E+03;3050;Learning a similarity metric discriminatively, with application to face verification
331;;Vision;2005;3,66E+04;36600;Histograms of oriented gradients for human detection
332;LIRA;Vision;2004;1,88E+02;188;Improved method of handwritten digit recognition tested on MNIST database
333;;Vision;2003;9,49E+02;949;Unsupervised Learning of Models for Recognition
334;Unsupervised Scale-Invariant Learning;Vision;2003;2,97E+03;2970;Object Class Recognition by Unsupervised Scale-Invariant Learning
335;CNN Best Practices;Vision;2003;3,07E+03;3070;Best practices for convolutional neural networks applied to visual document analysis
336;Decision tree (classification);Vision;2001;2,34E+04;23400;Rapid object detection using a boosted cascade of simple features
337;;Vision;1999;1,73E+03;1730;Large Margin Classification Using the Perceptron Algorithm
338;;Vision;1998;6,02E+02;602;Probabilistic modeling of local appearance and spatial relationships for object recognition
339;LeNet-5;Vision;1998;3,86E+04;38600;Gradient-based Learning Applied to Document Recognition
340;;Vision;1997;3,85E+03;3850;Training Support Vector Machines: An Application to Face Detection
341;System 11;Vision;1996;6,01E+03;6010;Neural Network-Based Face Detection
342;Zip CNN;Vision;1989;9,05E+03;9050;Backpropagation applied to handwritten zip code recognition
343;;Vision;1988;1,91E+04;19100;A Combined Corner and Edge Detector
344;;Vision;1987;7,59E+03;7590;Recognition-by-components: A theory of human image understanding
345;;Vision;1986;3,79E+04;37900;A Computational Approach To Edge Detection
346;Neocognitron;Vision;1980;5,78E+03;5780;Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position
347;;Vision;1979;9,81E+02;981;The internal representation of solid shape with respect to vision
348;Naive Bayes;Vision;1974;2,31E+04;23100;Pattern Classification and Scene Analysis
349;ADALINE;Vision;1960;6,33E+03;6330;Adaptive switching circuits
350;Pattern recognition and reading by machine;Vision;1959;5,87E+02;587;Pattern recognition and reading by machine
351;Perceptron Mark I;Vision;1957;1,61E+03;1610;The Perceptron—a perceiving and recognizing automaton
352;;Vision;1956;8,40E+01;84;Conditional probability machines
353;Self Organizing System;Vision;1955;9,30E+01;93;Generalization of pattern recognition in a self-organizing system
354;;Vision;1955;2,90E+02;290;Pattern recognition and learning
